261,SYS-FED-001,"High-risk systems must not be fully centralized",INCLUDED,"Context-based conversion to the later structured ID corpus."
262,SYS-FED-002,"Elections remain state/local administered",INCLUDED,"Context-based conversion to the later structured ID corpus."
263,SYS-FED-003,"Federal sets standards but not direct control of elections",INCLUDED,"Context-based conversion to the later structured ID corpus."
264,SYS-FED-004,"Multiple independent oversight layers required",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
266,SYS-FED-004,"Multiple independent oversight layers required",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
265,SYS-FED-005,"Safeguards against both state and federal abuse",INCLUDED,"Context-based conversion to the later structured ID corpus."
247,SYS-GEO-001,"Geography must not determine access to rights or care",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
255,SYS-GEO-001,"Geography must not determine access to rights or care",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
248,SYS-GEO-002,"National baseline must be uniform",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
254,SYS-GEO-002,"National baseline must be uniform",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
256,SYS-GEO-002,"National baseline must be uniform",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
249,SYS-GEO-003,"States may not degrade federally guaranteed rights",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
257,SYS-GEO-003,"States may not degrade federally guaranteed rights",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
260,SYS-GEO-003,"States may not degrade federally guaranteed rights",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
250,SYS-GEO-004,"Cross-state access must be guaranteed",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
258,SYS-GEO-004,"Cross-state access must be guaranteed",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
251,SYS-GEO-005,"Travel support required when local care unavailable",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
259,SYS-GEO-005,"Travel support required when local care unavailable",INCLUDED,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
