AGR-REG-001,AGR,REG,"Promote regenerative agriculture and sustainable farming practices",MISSING,2,2
SYS-AI-001,SYS,AI,"AI-assisted decision systems must not create asymmetrical processes that accelerate approvals while increasing delay scrutiny or denial likelihood for unapproved cases",MISSING,4,2
SYS-AI-002,SYS,AI,"Any decision that materially harms restricts or denies rights opportunities or access must be made through independent human judgment and may not rely on absence of AI support",MISSING,4,2
SYS-AI-003,SYS,AI,"Absence of AI recommendation or prioritization may not be used as evidence or implicit justification for denial restriction or adverse outcomes",MISSING,4,2
SYS-AI-004,SYS,AI,"All individuals must receive equal and timely consideration in decision-making systems regardless of AI prioritization or scoring",MISSING,4,2
SYS-AI-005,SYS,AI,"AI systems used in decision-making processes must include mechanisms to detect measure and mitigate bias and must be explicitly used to improve fairness where possible",MISSING,4,2
SYS-AI-006,SYS,AI,"Decision-making systems using AI must be continuously audited for bias disparate impact and unfair outcomes with corrective action required",MISSING,4,2
SYS-AI-007,SYS,AI,"Each policy domain or pillar must define its own AI system rules consistent with these overarching principles and adapted to domain-specific risks",MISSING,2,2
SYS-FED-001,SYS,FED,"High-risk systems must not be fully centralized",INCLUDED,2,2
SYS-FED-002,SYS,FED,"Elections remain state/local administered",INCLUDED,2,2
SYS-FED-003,SYS,FED,"Federal sets standards but not direct control of elections",INCLUDED,2,2
SYS-FED-004,SYS,FED,"Multiple independent oversight layers required",INCLUDED,2,2
SYS-FED-005,SYS,FED,"Safeguards against both state and federal abuse",INCLUDED,2,2
SYS-FND-001,SYS,FND,"Platform is both a policy framework and long-term strategy",INCLUDED,2,2
SYS-FND-002,SYS,FND,"Restore checks and balances",INCLUDED,2,2
SYS-FND-003,SYS,FND,"Modernize the Constitution",INCLUDED,2,2
SYS-FND-004,SYS,FND,"Guarantee universal equal rights",INCLUDED,2,2
SYS-FND-005,SYS,FND,"Address economic inequality structurally",INCLUDED,2,2
SYS-FND-006,SYS,FND,"Address modern systemic issues not covered by current law",INCLUDED,2,2
SYS-FND-007,SYS,FND,"Make technology work for people",INCLUDED,2,2
SYS-FND-008,SYS,FND,"Movement is not left vs right",INCLUDED,2,2
SYS-FND-009,SYS,FND,"Movement accessible to everyone",INCLUDED,2,2
SYS-FND-010,SYS,FND,"Includes communication and coalition strategy",INCLUDED,2,2
SYS-FND-011,SYS,FND,"Not a political party",INCLUDED,2,2
SYS-FND-012,SYS,FND,"Origin tied to post-Trump instability concerns",INCLUDED,2,2
SYS-FND-013,SYS,FND,"Address ignored working-class issues",INCLUDED,2,2
SYS-FND-014,SYS,FND,"Address rising costs and declining quality of life",INCLUDED,2,2
SYS-FND-015,SYS,FND,"Address elite detachment",INCLUDED,2,2
SYS-FND-016,SYS,FND,"Address wealth concentration",INCLUDED,2,2
SYS-FND-017,SYS,FND,"Address declining institutional trust",INCLUDED,2,2
SYS-FND-018,SYS,FND,"Core values include truth equality freedom dignity",INCLUDED,2,2
SYS-GEO-001,SYS,GEO,"Geography must not determine access to rights or care",INCLUDED,2,2
SYS-GEO-002,SYS,GEO,"National baseline must be uniform",INCLUDED,2,2
SYS-GEO-003,SYS,GEO,"States may not degrade federally guaranteed rights",INCLUDED,2,2
SYS-GEO-004,SYS,GEO,"Cross-state access must be guaranteed",INCLUDED,2,2
SYS-GEO-005,SYS,GEO,"Travel support required when local care unavailable",INCLUDED,2,2
SYS-RUL-001,SYS,RUL,"System rules ensure completeness and alignment",INCLUDED,2,2
