OVR-BRN-001,OVR,BRN,"Each branch of government and major constitutional body must establish an independent criminal and ethics oversight board",MISSING,2,2
OVR-BRN-002,OVR,BRN,"Oversight boards must be independent from the bodies they oversee",MISSING,2,2
OVR-FED-001,OVR,FED,"Establish a federal independent oversight and investigations body",MISSING,2,2
OVR-FED-002,OVR,FED,"Federal oversight body has authority to investigate any federally elected official",MISSING,2,2
OVR-FED-003,OVR,FED,"Federal oversight body includes one elected member and members appointed by each branch of government",MISSING,2,2
OVR-FED-004,OVR,FED,"Federal oversight body has subpoena and deposition powers",MISSING,2,2
OVR-FND-001,OVR,FND,"Funding for oversight and investigation bodies must be guaranteed and adequate",MISSING,2,2
OVR-FND-002,OVR,FND,"If funding is not passed oversight bodies automatically receive a 6-month extension",MISSING,2,2
OVR-FND-003,OVR,FND,"Automatic funding extension includes a 10 percent increase",MISSING,2,2
OVR-FND-004,OVR,FND,"Oversight funding must be separate from the departments they oversee",MISSING,2,2
OVR-FND-005,OVR,FND,"Oversight funding must be protected from political and external influence",MISSING,2,2
OVR-JUR-001,OVR,JUR,"Federal oversight body may investigate governors and high-level state officials",MISSING,2,2
OVR-JUR-002,OVR,JUR,"Federal oversight body may investigate state oversight boards if they fail to perform duties",MISSING,2,2
OVR-STA-001,OVR,STA,"Each state must establish its own independent oversight board",MISSING,2,2
OVR-STA-002,OVR,STA,"State oversight boards include directly elected members",MISSING,2,2
OVR-STA-003,OVR,STA,"State oversight boards include members appointed by legislatures and governors",MISSING,2,2
